A_ki
 0   1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39
  0   1   4   3   2   1   2   3   1   6   2   7   5   3   1   1   1   2   2   1   1   4   5   5   5   1   1   2   1   3   1   3   1   4   2   1   1   2   4   1
  0   1   1   1   1   1   1   2   1   1   1   1   1   2   1   1   1   1   2   1   1   2   1   1   2   1   1   2   1   1   1   1   1   1   2   1   1   1   1   3
  0   1   2   1   1   1   1   1   2   1   1   2   2   1   1   2   2   1   1   1   1   1   1   1   1   1   1   2   1   1   1   1   1   1   2   1   1   1   2   1
  0   2   1   1   1   3   1   1   1   1   1   1   1   1   2   2   1   2   1   1   1   1   1   2   1   2   1   1   1   1   1   1   1   1   1   1   1   1   1   2
  7   6   1  16   2   2   4   2  15   3   2  10   5   3   7   6   7   4   2   3   3   5   1   4   4   2   1   9   5   4   9  13   5   7   3  20   1   1   3   1
 17   1  12  12   1   3   3   6   1   5   4   4   4   3   4   4   1   5   3   2  13   3   2   3   6  17   7   3  13   1   1   1   7   1   4  23   2   4   1   1
  1   1   5   7   1   6   1  15   5  16  18   3   6   3  22   2  10   2   3   2   9   2   3   1   4   4   6   4   2   1   2   1   5   8   9   6   2   2   3  21
  6   3  10   5   5  10   1   2   2   7   3   3   2   6   1   1   6   5   2   1   2   2   8  17   1   2  14   5   2  10   1   2   5   3   4   5   1   3   7   1
  0   3   5   3   3   6   1   6   5   5   9   3   1   2   1   1   3   9   2   5   7   2   1  14   3   2   9   3   4  11   6   1   2   2   7   2   7  17   1   2
 10   1   2   6   1   7   4   4   3  17   4   7   5   7   4   2   6   1   5   4   3   4   1  11   3   7   5   5   2   2   3  12   7   3   1   3  16   9   5   6
S_i
  0    1    2    3    4    5    6    7    8    9    10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29    30   31   32   33   34   35    36   37   38   39
 0.0  0.0  0.0  0.0  0.0  1.0  1.0  0.0  0.0  2.0  2.0  3.0  4.0  3.0  1.0  0.0  1.0  2.0  0.0  2.0  1.0  6.0  6.0  6.0  0.0  0.0  5.0  0.0  1.0  2.0  10.0  2.0  0.0  5.0  5.0  8.0  10.0  1.0  8.0  8.0
E_i
   0    1    2    3    4    5    6    7     8    9     10   11   12    13    14   15   16   17   18   19   20    21   22   23    24   25    26   27   28    29    30   31   32   33    34    35    36    37    38    39
 12.0  6.0  5.0  7.0  4.0  4.0  7.0  7.0  13.0  5.0  13.0  8.0  4.0  13.0  12.0  4.0  9.0  5.0  7.0  8.0  4.0  10.0  8.0  8.0  15.0  9.0  15.0  3.0  3.0  14.0  12.0  5.0  5.0  5.0  13.0  11.0  14.0  11.0  13.0  14.0
M_l
   0    1    2    3    4    5
 292  277  286  205  152  143
d_ktl
array([[[0, 0, 2, 1, 3, 0],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4]],

       [[2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2]],

       [[3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2]],

       [[0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2]],

       [[0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2]],

       [[3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4]]])
